GO_Term,Category,GO_Number
GO:0007626,BP,7626
GO:0007611,BP,7611
GO:0044708,BP,44708
GO:0007610,BP,7610
GO:0007268,BP,7268
GO:0098916,BP,98916
GO:0099537,BP,99537
GO:0099536,BP,99536
GO:0007267,BP,7267
GO:0044700,BP,44700
GO:0023052,BP,23052
GO:0044085,BP,44085
GO:0030031,BP,30031
GO:0010927,BP,10927
GO:0043623,BP,43623
GO:0051260,BP,51260
GO:0051259,BP,51259
GO:0006461,BP,6461
GO:0022618,BP,22618
GO:0034622,BP,34622
GO:0065003,BP,65003
GO:0070925,BP,70925
GO:0022607,BP,22607
GO:0048812,BP,48812
GO:0048858,BP,48858
GO:0030030,BP,30030
GO:0072657,BP,72657
GO:0044802,BP,44802
GO:0061024,BP,61024
GO:0071555,BP,71555
GO:0045229,BP,45229
GO:0032990,BP,32990
GO:0000904,BP,904
GO:0000902,BP,902
GO:0032989,BP,32989
GO:0071824,BP,71824
GO:0071826,BP,71826
GO:0007015,BP,7015
GO:0043241,BP,43241
GO:0071822,BP,71822
GO:0006338,BP,6338
GO:0016570,BP,16570
GO:0016569,BP,16569
GO:0016568,BP,16568
GO:0006325,BP,6325
GO:0032984,BP,32984
GO:0043933,BP,43933
GO:0030198,BP,30198
GO:0043062,BP,43062
GO:0022411,BP,22411
GO:0007005,BP,7005
GO:0030036,BP,30036
GO:0000226,BP,226
GO:0007010,BP,7010
GO:0051276,BP,51276
GO:0016050,BP,16050
GO:1902589,BP,1902589
GO:0000280,BP,280
GO:0048285,BP,48285
GO:0006996,BP,6996
GO:0032535,BP,32535
GO:0016043,BP,16043
GO:0071840,BP,71840
GO:0000003,BP,3
GO:0007623,BP,7623
GO:0048511,BP,48511
GO:0051346,BP,51346
GO:0051345,BP,51345
GO:0052548,BP,52548
GO:0052547,BP,52547
GO:0051336,BP,51336
GO:0032147,BP,32147
GO:0071902,BP,71902
GO:0045860,BP,45860
GO:0033674,BP,33674
GO:0051347,BP,51347
GO:0033673,BP,33673
GO:0051348,BP,51348
GO:0043405,BP,43405
GO:0071900,BP,71900
GO:0045859,BP,45859
GO:0043549,BP,43549
GO:0051338,BP,51338
GO:0043086,BP,43086
GO:0043085,BP,43085
GO:0050790,BP,50790
GO:0022898,BP,22898
GO:0032409,BP,32409
GO:0051091,BP,51091
GO:0051090,BP,51090
GO:0044093,BP,44093
GO:0044092,BP,44092
GO:0051098,BP,51098
GO:0065009,BP,65009
GO:0042391,BP,42391
GO:0032844,BP,32844
GO:0051480,BP,51480
GO:0006874,BP,6874
GO:0006875,BP,6875
GO:0072503,BP,72503
GO:0030003,BP,30003
GO:0006873,BP,6873
GO:0055082,BP,55082
GO:0019725,BP,19725
GO:0060249,BP,60249
GO:0055074,BP,55074
GO:0072507,BP,72507
GO:0055076,BP,55076
GO:0055065,BP,55065
GO:0098771,BP,98771
GO:0055080,BP,55080
GO:0050801,BP,50801
GO:0048878,BP,48878
GO:0042592,BP,42592
GO:0090066,BP,90066
GO:0050878,BP,50878
GO:0042445,BP,42445
GO:0090276,BP,90276
GO:0046883,BP,46883
GO:0010817,BP,10817
GO:0031647,BP,31647
GO:0051817,BP,51817
GO:0035821,BP,35821
GO:0065008,BP,65008
GO:0031331,BP,31331
GO:0045732,BP,45732
GO:0009896,BP,9896
GO:0009895,BP,9895
GO:0010506,BP,10506
GO:0061136,BP,61136
GO:1903050,BP,1903050
GO:1903362,BP,1903362
GO:0031329,BP,31329
GO:0042176,BP,42176
GO:0009894,BP,9894
GO:0016458,BP,16458
GO:0000122,BP,122
GO:0045892,BP,45892
GO:0010629,BP,10629
GO:0001933,BP,1933
GO:0031400,BP,31400
GO:0045861,BP,45861
GO:0032269,BP,32269
GO:0051248,BP,51248
GO:1903507,BP,1903507
GO:1902679,BP,1902679
GO:0051253,BP,51253
GO:2000113,BP,2000113
GO:0010558,BP,10558
GO:0010605,BP,10605
GO:0031327,BP,31327
GO:0009890,BP,9890
GO:0042326,BP,42326
GO:0045936,BP,45936
GO:0010563,BP,10563
GO:0045934,BP,45934
GO:0031324,BP,31324
GO:0051172,BP,51172
GO:0009892,BP,9892
GO:0045944,BP,45944
GO:0045893,BP,45893
GO:0010628,BP,10628
GO:0043410,BP,43410
GO:0001934,BP,1934
GO:0031401,BP,31401
GO:0045862,BP,45862
GO:0032270,BP,32270
GO:0051247,BP,51247
GO:1903508,BP,1903508
GO:1902680,BP,1902680
GO:0051254,BP,51254
GO:0010557,BP,10557
GO:0010604,BP,10604
GO:0031328,BP,31328
GO:0042327,BP,42327
GO:0045937,BP,45937
GO:0010562,BP,10562
GO:0045935,BP,45935
GO:0031325,BP,31325
GO:0009891,BP,9891
GO:0051173,BP,51173
GO:0009893,BP,9893
GO:0006275,BP,6275
GO:0006357,BP,6357
GO:0006355,BP,6355
GO:0006417,BP,6417
GO:2000112,BP,2000112
GO:1903506,BP,1903506
GO:2001141,BP,2001141
GO:0010556,BP,10556
GO:0040029,BP,40029
GO:0010608,BP,10608
GO:0010468,BP,10468
GO:0051252,BP,51252
GO:0031396,BP,31396
GO:1903320,BP,1903320
GO:0070372,BP,70372
GO:0043408,BP,43408
GO:0001932,BP,1932
GO:0031399,BP,31399
GO:0032268,BP,32268
GO:0030162,BP,30162
GO:0051246,BP,51246
GO:0051052,BP,51052
GO:0060255,BP,60255
GO:0031326,BP,31326
GO:0010565,BP,10565
GO:1900542,BP,1900542
GO:0006140,BP,6140
GO:0019219,BP,19219
GO:0034248,BP,34248
GO:0042325,BP,42325
GO:0019220,BP,19220
GO:0051174,BP,51174
GO:0010675,BP,10675
GO:0031323,BP,31323
GO:0046890,BP,46890
GO:0009889,BP,9889
GO:0051171,BP,51171
GO:0019216,BP,19216
GO:0006109,BP,6109
GO:0080090,BP,80090
GO:0019222,BP,19222
GO:2000241,BP,2000241
GO:0032107,BP,32107
GO:0032104,BP,32104
GO:0032102,BP,32102
GO:0050727,BP,50727
GO:0032103,BP,32103
GO:0032101,BP,32101
GO:0031348,BP,31348
GO:0030178,BP,30178
GO:1902532,BP,1902532
GO:0009968,BP,9968
GO:0048585,BP,48585
GO:0002218,BP,2218
GO:0045089,BP,45089
GO:0031349,BP,31349
GO:1902533,BP,1902533
GO:0009967,BP,9967
GO:0002429,BP,2429
GO:0002757,BP,2757
GO:0002253,BP,2253
GO:0050778,BP,50778
GO:0048584,BP,48584
GO:0002831,BP,2831
GO:0090287,BP,90287
GO:2001233,BP,2001233
GO:0090092,BP,90092
GO:0060828,BP,60828
GO:0030111,BP,30111
GO:0043122,BP,43122
GO:1902531,BP,1902531
GO:0009966,BP,9966
GO:0002768,BP,2768
GO:0002764,BP,2764
GO:0045088,BP,45088
GO:0050776,BP,50776
GO:1903034,BP,1903034
GO:0080135,BP,80135
GO:0031347,BP,31347
GO:0080134,BP,80134
GO:0048583,BP,48583
GO:0050804,BP,50804
GO:0023056,BP,23056
GO:0023057,BP,23057
GO:0023051,BP,23051
GO:0048638,BP,48638
GO:0045926,BP,45926
GO:0045927,BP,45927
GO:0001558,BP,1558
GO:0040008,BP,40008
GO:0090316,BP,90316
GO:0050714,BP,50714
GO:0051222,BP,51222
GO:1904951,BP,1904951
GO:1903829,BP,1903829
GO:0010976,BP,10976
GO:0045666,BP,45666
GO:0050769,BP,50769
GO:0051962,BP,51962
GO:0001819,BP,1819
GO:0051240,BP,51240
GO:0050870,BP,50870
GO:0051251,BP,51251
GO:0002696,BP,2696
GO:0002684,BP,2684
GO:1903651,BP,1903651
GO:0032388,BP,32388
GO:1903532,BP,1903532
GO:0051047,BP,51047
GO:0043270,BP,43270
GO:0051050,BP,51050
GO:0043902,BP,43902
GO:0030335,BP,30335
GO:2000147,BP,2000147
GO:0040017,BP,40017
GO:0010720,BP,10720
GO:0045597,BP,45597
GO:0051094,BP,51094
GO:0008284,BP,8284
GO:0043065,BP,43065
GO:0043068,BP,43068
GO:0010942,BP,10942
GO:0010647,BP,10647
GO:0090068,BP,90068
GO:0045787,BP,45787
GO:0034112,BP,34112
GO:1903039,BP,1903039
GO:0022409,BP,22409
GO:0045785,BP,45785
GO:0050867,BP,50867
GO:0051495,BP,51495
GO:0010638,BP,10638
GO:0031346,BP,31346
GO:0031334,BP,31334
GO:0051130,BP,51130
GO:0051272,BP,51272
GO:0048522,BP,48522
GO:0044089,BP,44089
GO:0048518,BP,48518
GO:0002697,BP,2697
GO:0050863,BP,50863
GO:0051249,BP,51249
GO:0002694,BP,2694
GO:0002683,BP,2683
GO:1902105,BP,1902105
GO:1903706,BP,1903706
GO:0002682,BP,2682
GO:0010769,BP,10769
GO:0022604,BP,22604
GO:2000027,BP,2000027
GO:0022603,BP,22603
GO:0050768,BP,50768
GO:0010721,BP,10721
GO:0010975,BP,10975
GO:0045664,BP,45664
GO:0050767,BP,50767
GO:0060284,BP,60284
GO:0045596,BP,45596
GO:0045595,BP,45595
GO:0051961,BP,51961
GO:0051093,BP,51093
GO:0048580,BP,48580
GO:0051960,BP,51960
GO:2000026,BP,2000026
GO:0050793,BP,50793
GO:1903533,BP,1903533
GO:0033157,BP,33157
GO:0046822,BP,46822
GO:1903649,BP,1903649
GO:0032386,BP,32386
GO:1900180,BP,1900180
GO:1903827,BP,1903827
GO:0050708,BP,50708
GO:1903530,BP,1903530
GO:0060341,BP,60341
GO:0050865,BP,50865
GO:0034110,BP,34110
GO:1903037,BP,1903037
GO:0022407,BP,22407
GO:0030155,BP,30155
GO:1903308,BP,1903308
GO:1902275,BP,1902275
GO:0033044,BP,33044
GO:0010821,BP,10821
GO:0032956,BP,32956
GO:0051493,BP,51493
GO:0010639,BP,10639
GO:0007088,BP,7088
GO:0051783,BP,51783
GO:0033043,BP,33043
GO:0051129,BP,51129
GO:0031344,BP,31344
GO:0030100,BP,30100
GO:0043254,BP,43254
GO:0051128,BP,51128
GO:0097190,BP,97190
GO:0019221,BP,19221
GO:0007169,BP,7169
GO:0007167,BP,7167
GO:0016055,BP,16055
GO:0007166,BP,7166
GO:0000165,BP,165
GO:0035556,BP,35556
GO:0023014,BP,23014
GO:0009755,BP,9755
GO:0007186,BP,7186
GO:0007165,BP,7165
GO:0010648,BP,10648
GO:0010646,BP,10646
GO:0051302,BP,51302
GO:1904062,BP,1904062
