,proteins
0,SMYD2_MOUSE
1,OPRX_RAT
2,NHRF1_MOUSE
3,DHTK1_MOUSE
4,TM10A_HUMAN
5,OMPB1_NEIGO
6,VGLU3_MOUSE
7,PDC10_RAT
8,GA2L1_MOUSE
9,KIT_MOUSE
10,NIRB_ECOLI
11,TCO2_BOVIN
12,RT09_BOVIN
13,FOXA2_RAT
14,OR9G4_HUMAN
15,RS3A_RAT
16,SPC3B_ARATH
17,TRPV5_RAT
18,NRT21_ORYSJ
19,RAD50_PYRFU
20,AMPD2_HUMAN
21,MSBP1_ARATH
22,CG21_YEAST
23,CD34_MOUSE
24,ILEUB_MOUSE
25,ICMTB_ARATH
26,WDR48_MOUSE
27,DNM3B_HUMAN
28,IFNA5_HUMAN
29,NRT_DROME
30,SDC4_HUMAN
31,JADE3_HUMAN
32,BET1_HUMAN
33,HS74L_RAT
34,MAT1_MOUSE
35,SIR_MAIZE
36,TAXB1_RAT
37,SAHH_MOUSE
38,ACCO2_ARATH
39,CU059_DANRE
40,RM1DH_PICST
41,LMOD1_RAT
42,NB5R2_DANRE
43,YPDK_ECOLI
44,FABA_ECOLI
45,RL26_RAT
46,JUNB_RAT
47,MP2K1_RAT
48,TOB2_HUMAN
49,OTC_CHICK
50,SPT8_YEAST
51,LV1A_MOUSE
52,MEX3D_HUMAN
53,SURF4_SCHPO
54,Y3193_MYCTU
55,MSRA_PSEAE
56,HXC11_MOUSE
57,CR1L_RAT
58,ADH1_ARATH
59,GAT3_YEAST
60,HXD13_MOUSE
61,PXMP4_HUMAN
62,YNS5_SCHPO
63,LMBL1_HUMAN
64,SYK_MOUSE
65,VPS5_SCHPO
66,HSC90_DICDI
67,ATIF1_HUMAN
68,TNR3_MOUSE
69,HMOX4_ARATH
70,MFA2_YEAST
71,2AAA_ARATH
72,TRAB1_ORYSJ
73,EAA1_BOVIN
74,SETLP_HUMAN
75,TNNI3_MOUSE
76,SUMO1_DANRE
77,1B48_HUMAN
78,U73C1_ARATH
79,H2A2C_HUMAN
80,NET1_MOUSE
81,KVD33_HUMAN
82,CDS1_MOUSE
